faixa_etaria,faixa_altura,curso,media_estudos
23–27 anos,"1,60 m – 1,69 m",ADS,5–6 horas
18–22 anos,"1,60 m – 1,69 m",ADS,1–2 horas
23–27 anos,"1,70 m – 1,79 m",Direito,3–4 horas
18–22 anos,"1,50 m – 1,59 m",Psicologia,1–2 horas
28–32 anos,"1,70 m – 1,79 m",Administração,5–6 horas
18–22 anos,"1,80 m – 1,89 m",Engenharia,3–4 horas
23–27 anos,"1,60 m – 1,69 m",Medicina,Mais de 6 horas
18–22 anos,"1,70 m – 1,79 m",ADS,1–2 horas
33–40 anos,"1,60 m – 1,69 m",Direito,3–4 horas
23–27 anos,"1,80 m – 1,89 m",Engenharia,5–6 horas
18–22 anos,"1,50 m – 1,59 m",Psicologia,Menos de 1 hora
23–27 anos,"1,70 m – 1,79 m",Administração,1–2 horas
18–22 anos,"1,60 m – 1,69 m",ADS,3–4 horas
28–32 anos,"1,80 m – 1,89 m",Engenharia,5–6 horas
23–27 anos,"1,50 m – 1,59 m",Psicologia,1–2 horas
18–22 anos,"1,70 m – 1,79 m",Direito,3–4 horas
33–40 anos,"1,60 m – 1,69 m",Outro,Menos de 1 hora
23–27 anos,"1,70 m – 1,79 m",Medicina,Mais de 6 horas
18–22 anos,"1,50 m – 1,59 m",ADS,1–2 horas
28–32 anos,"1,80 m – 1,89 m",Administração,3–4 horas
23–27 anos,"1,60 m – 1,69 m",Engenharia,5–6 horas
18–22 anos,"1,70 m – 1,79 m",Psicologia,1–2 horas
Mais de 40 anos,"1,60 m – 1,69 m",Direito,3–4 horas
23–27 anos,"1,80 m – 1,89 m",Medicina,Mais de 6 horas
18–22 anos,"1,50 m – 1,59 m",ADS,Menos de 1 hora
28–32 anos,"1,70 m – 1,79 m",Engenharia,3–4 horas
