Carimbo de data/hora,Qual a sua faixa de etária,Qual a  sua faixa de altura,Qual o seu curso,Qual  a sua média de estudos por dia
07/05/2026 16:24:32,23–27 anos,"1,60 m – 1,69 m",ADS,5–6 horas
07/05/2026 16:37:25,18–22 anos,"1,60 m – 1,69 m",ADS,1–2 horas
07/05/2026 16:37:53,23–27 anos,"1,70 m – 1,79 m",Direito,3–4 horas
07/05/2026 16:38:25,18–22 anos,"1,50 m – 1,59 m",Psicologia,1–2 horas
07/05/2026 16:38:49,28–32 anos,"1,70 m – 1,79 m",Administração,5–6 horas
07/05/2026 16:39:28,18–22 anos,"1,80 m – 1,89 m",Engenharia,3–4 horas
07/05/2026 16:39:51,23–27 anos,"1,60 m – 1,69 m",Medicina,Mais de 6 horas
07/05/2026 16:40:36,18–22 anos,"1,70 m – 1,79 m",ADS,1–2 horas
07/05/2026 16:40:58,33–40 anos,"1,60 m – 1,69 m",Direito,3–4 horas
07/05/2026 16:41:15,23–27 anos,"1,80 m – 1,89 m",Engenharia,5–6 horas
07/05/2026 16:41:38,18–22 anos,"1,50 m – 1,59 m",Psicologia,Menos de 1 hora
07/05/2026 16:43:12,23–27 anos,"1,70 m – 1,79 m",Administração,1–2 horas
07/05/2026 16:43:41,18–22 anos,"1,60 m – 1,69 m",ADS,3–4 horas
07/05/2026 16:44:17,28–32 anos,"1,80 m – 1,89 m",Engenharia,5–6 horas
07/05/2026 16:44:42,23–27 anos,"1,50 m – 1,59 m",Psicologia,1–2 horas
07/05/2026 16:45:04,18–22 anos,"1,70 m – 1,79 m",Direito,3–4 horas
07/05/2026 16:45:21,33–40 anos,"1,60 m – 1,69 m",outro,Menos de 1 hora
07/05/2026 16:45:40,23–27 anos,"1,70 m – 1,79 m",Medicina,Mais de 6 horas
07/05/2026 16:46:09,18–22 anos,"1,50 m – 1,59 m",ADS,1–2 horas
07/05/2026 16:46:32,28–32 anos,"1,80 m – 1,89 m",Administração,3–4 horas
07/05/2026 16:47:14,23–27 anos,"1,60 m – 1,69 m",Engenharia,5–6 horas
07/05/2026 16:47:51,18–22 anos,"1,70 m – 1,79 m",Psicologia,1–2 horas
07/05/2026 16:48:11,Mais de 40 anos,"1,60 m – 1,69 m",Direito,3–4 horas
07/05/2026 16:48:34,23–27 anos,"1,80 m – 1,89 m",Medicina,Mais de 6 horas
07/05/2026 16:48:56,18–22 anos,"1,50 m – 1,59 m",ADS,Menos de 1 hora
07/05/2026 16:49:17,28–32 anos,"1,70 m – 1,79 m",Engenharia,3–4 horas
